001  00119 |Loss: 2.321 | Acc: 17.621% 
001  00120 |Loss: 2.318 | Acc: 17.734% 
001  00121 |Loss: 2.317 | Acc: 17.743% 
001  00122 |Loss: 2.314 | Acc: 17.853% 
001  00123 |Loss: 2.312 | Acc: 17.810% 
001  00124 |Loss: 2.311 | Acc: 17.792% 
001  00125 |Loss: 2.307 | Acc: 17.850% 
001  00126 |Loss: 2.306 | Acc: 17.857% 
001  00127 |Loss: 2.303 | Acc: 17.913% 
001  00128 |Loss: 2.302 | Acc: 17.920% 
001  00129 |Loss: 2.300 | Acc: 17.878% 
001  00130 |Loss: 2.297 | Acc: 18.005% 
001  00131 |Loss: 2.293 | Acc: 18.058% 
001  00132 |Loss: 2.289 | Acc: 18.205% 
001  00133 |Loss: 2.286 | Acc: 18.257% 
001  00134 |Loss: 2.284 | Acc: 18.260% 
001  00135 |Loss: 2.281 | Acc: 18.310% 
001  00136 |Loss: 2.282 | Acc: 18.359% 
001  00137 |Loss: 2.281 | Acc: 18.339% 
001  00138 |Loss: 2.280 | Acc: 18.297% 
001  00139 |Loss: 2.279 | Acc: 18.368% 
001  00140 |Loss: 2.278 | Acc: 18.415% 
001  00141 |Loss: 2.277 | Acc: 18.484% 
001  00142 |Loss: 2.275 | Acc: 18.442% 
001  00143 |Loss: 2.273 | Acc: 18.488% 
001  00144 |Loss: 2.273 | Acc: 18.468% 
001  00145 |Loss: 2.272 | Acc: 18.491% 
001  00146 |Loss: 2.271 | Acc: 18.450% 
001  00147 |Loss: 2.269 | Acc: 18.474% 
001  00148 |Loss: 2.268 | Acc: 18.539% 
001  00149 |Loss: 2.266 | Acc: 18.687% 
001  00150 |Loss: 2.265 | Acc: 18.750% 
001  00151 |Loss: 2.263 | Acc: 18.729% 
001  00152 |Loss: 2.262 | Acc: 18.729% 
001  00153 |Loss: 2.260 | Acc: 18.750% 
001  00154 |Loss: 2.259 | Acc: 18.750% 
001  00155 |Loss: 2.257 | Acc: 18.790% 
001  00156 |Loss: 2.256 | Acc: 18.850% 
001  00157 |Loss: 2.255 | Acc: 18.790% 
001  00158 |Loss: 2.254 | Acc: 18.770% 
001  00159 |Loss: 2.253 | Acc: 18.750% 
001  00160 |Loss: 2.251 | Acc: 18.770% 
001  00161 |Loss: 2.251 | Acc: 18.769% 
001  00162 |Loss: 2.249 | Acc: 18.769% 
001  00163 |Loss: 2.247 | Acc: 18.750% 
001  00164 |Loss: 2.245 | Acc: 18.807% 
001  00165 |Loss: 2.243 | Acc: 18.920% 
001  00166 |Loss: 2.241 | Acc: 18.901% 
001  00167 |Loss: 2.241 | Acc: 18.844% 
001  00168 |Loss: 2.239 | Acc: 18.899% 
001  00169 |Loss: 2.237 | Acc: 18.990% 
001  00170 |Loss: 2.234 | Acc: 19.136% 
001  00171 |Loss: 2.233 | Acc: 19.189% 
001  00172 |Loss: 2.232 | Acc: 19.168% 
001  00173 |Loss: 2.232 | Acc: 19.165% 
001  00174 |Loss: 2.233 | Acc: 19.199% 
001  00175 |Loss: 2.232 | Acc: 19.196% 
001  00176 |Loss: 2.231 | Acc: 19.229% 
001  00177 |Loss: 2.231 | Acc: 19.174% 
001  00178 |Loss: 2.232 | Acc: 19.136% 
001  00179 |Loss: 2.232 | Acc: 19.117% 
001  00180 |Loss: 2.232 | Acc: 19.184% 
001  00181 |Loss: 2.230 | Acc: 19.233% 
001  00182 |Loss: 2.230 | Acc: 19.231% 
001  00183 |Loss: 2.228 | Acc: 19.296% 
001  00184 |Loss: 2.227 | Acc: 19.395% 
001  00185 |Loss: 2.225 | Acc: 19.459% 
001  00186 |Loss: 2.225 | Acc: 19.456% 
001  00187 |Loss: 2.224 | Acc: 19.418% 
001  00188 |Loss: 2.223 | Acc: 19.481% 
001  00189 |Loss: 2.222 | Acc: 19.527% 
001  00190 |Loss: 2.221 | Acc: 19.539% 
001  00191 |Loss: 2.220 | Acc: 19.535% 
001  00192 |Loss: 2.218 | Acc: 19.564% 
001  00193 |Loss: 2.217 | Acc: 19.657% 
001  00194 |Loss: 2.217 | Acc: 19.668% 
001  00195 |Loss: 2.215 | Acc: 19.776% 
001  00196 |Loss: 2.214 | Acc: 19.754% 
001  00197 |Loss: 2.212 | Acc: 19.765% 
001  00198 |Loss: 2.211 | Acc: 19.823% 
001  00199 |Loss: 2.210 | Acc: 19.881% 
001  00200 |Loss: 2.208 | Acc: 19.984% 
001  00201 |Loss: 2.208 | Acc: 19.963% 
001  00202 |Loss: 2.206 | Acc: 19.972% 
001  00203 |Loss: 2.205 | Acc: 20.012% 
001  00204 |Loss: 2.205 | Acc: 19.975% 
001  00205 |Loss: 2.204 | Acc: 20.091% 
001  00206 |Loss: 2.203 | Acc: 20.085% 
001  00207 |Loss: 2.202 | Acc: 20.124% 
001  00208 |Loss: 2.201 | Acc: 20.177% 
001  00209 |Loss: 2.198 | Acc: 20.290% 
001  00210 |Loss: 2.197 | Acc: 20.312% 
001  00211 |Loss: 2.196 | Acc: 20.335% 
001  00212 |Loss: 2.195 | Acc: 20.371% 
001  00213 |Loss: 2.194 | Acc: 20.408% 
001  00214 |Loss: 2.194 | Acc: 20.400% 
001  00215 |Loss: 2.193 | Acc: 20.422% 
001  00216 |Loss: 2.192 | Acc: 20.414% 
001  00217 |Loss: 2.192 | Acc: 20.493% 
001  00218 |Loss: 2.191 | Acc: 20.528% 
001  00219 |Loss: 2.191 | Acc: 20.519% 
001  00220 |Loss: 2.189 | Acc: 20.540% 
001  00221 |Loss: 2.188 | Acc: 20.588% 
001  00222 |Loss: 2.188 | Acc: 20.594% 
001  00223 |Loss: 2.187 | Acc: 20.642% 
001  00224 |Loss: 2.186 | Acc: 20.661% 
001  00225 |Loss: 2.185 | Acc: 20.681% 
001  00226 |Loss: 2.184 | Acc: 20.686% 
001  00227 |Loss: 2.184 | Acc: 20.705% 
001  00228 |Loss: 2.183 | Acc: 20.710% 
001  00229 |Loss: 2.182 | Acc: 20.756% 
001  00230 |Loss: 2.182 | Acc: 20.774% 
001  00231 |Loss: 2.182 | Acc: 20.779% 
001  00232 |Loss: 2.181 | Acc: 20.797% 
001  00233 |Loss: 2.179 | Acc: 20.869% 
001  00234 |Loss: 2.178 | Acc: 20.927% 
001  00235 |Loss: 2.177 | Acc: 21.011% 
001  00236 |Loss: 2.176 | Acc: 21.014% 
001  00237 |Loss: 2.176 | Acc: 20.978% 
001  00238 |Loss: 2.175 | Acc: 20.969% 
001  00239 |Loss: 2.174 | Acc: 20.986% 
001  00240 |Loss: 2.173 | Acc: 20.977% 
001  00241 |Loss: 2.171 | Acc: 21.006% 
001  00242 |Loss: 2.170 | Acc: 21.049% 
001  00243 |Loss: 2.169 | Acc: 21.078% 
001  00244 |Loss: 2.168 | Acc: 21.094% 
001  00245 |Loss: 2.167 | Acc: 21.173% 
001  00246 |Loss: 2.166 | Acc: 21.189% 
001  00247 |Loss: 2.165 | Acc: 21.192% 
001  00248 |Loss: 2.164 | Acc: 21.270% 
001  00249 |Loss: 2.162 | Acc: 21.310% 
001  00250 |Loss: 2.161 | Acc: 21.337% 
001  00251 |Loss: 2.160 | Acc: 21.315% 
001  00252 |Loss: 2.158 | Acc: 21.379% 
001  00253 |Loss: 2.159 | Acc: 21.369% 
001  00254 |Loss: 2.157 | Acc: 21.395% 
001  00255 |Loss: 2.155 | Acc: 21.483% 
